Date,Impressions (organic),Impressions (sponsored),Impressions (total),Unique impressions (organic),Clicks (organic),Clicks (sponsored),Clicks (total),Reactions (organic),Reactions (sponsored),Reactions (total),Comments (organic),Comments (sponsored),Comments (total),Reposts (organic),Reposts (sponsored),Reposts (total),Engagement rate (organic),Engagement rate (sponsored),Engagement rate (total)
09/10/2022,44,0,44,16,6,0,6,3,0,3,0,0,0,1,0,1,0.2272727273,0,0.2272727273
09/11/2022,51,0,51,21,2,0,2,3,0,3,0,0,0,0,0,0,0.09803921569,0,0.09803921569
09/12/2022,58,0,58,15,1,0,1,3,0,3,0,0,0,0,0,0,0.06896551724,0,0.06896551724
09/13/2022,51,0,51,17,1,0,1,5,0,5,0,0,0,0,0,0,0.1176470588,0,0.1176470588
09/14/2022,36,0,36,18,2,0,2,2,0,2,0,0,0,0,0,0,0.1111111111,0,0.1111111111
09/15/2022,164,0,164,36,8,0,8,5,0,5,0,0,0,1,0,1,0.08536585366,0,0.08536585366
09/16/2022,116,0,116,29,12,0,12,6,0,6,0,0,0,0,0,0,0.1551724138,0,0.1551724138
09/17/2022,66,0,66,17,3,0,3,2,0,2,0,0,0,0,0,0,0.07575757576,0,0.07575757576
09/18/2022,102,0,102,19,4,0,4,2,0,2,0,0,0,0,0,0,0.05882352941,0,0.05882352941
09/19/2022,38,0,38,15,1,0,1,3,0,3,0,0,0,0,0,0,0.1052631579,0,0.1052631579
09/20/2022,61,0,61,20,4,0,4,3,0,3,0,0,0,0,0,0,0.1147540984,0,0.1147540984
09/21/2022,63,0,63,22,5,0,5,3,0,3,0,0,0,1,0,1,0.1428571429,0,0.1428571429
09/22/2022,43,0,43,14,2,0,2,5,0,5,0,0,0,1,0,1,0.1860465116,0,0.1860465116
09/23/2022,51,0,51,16,3,0,3,4,0,4,0,0,0,0,0,0,0.137254902,0,0.137254902
09/24/2022,43,0,43,16,3,0,3,8,0,8,0,0,0,5,0,5,0.3720930233,0,0.3720930233
09/25/2022,136,0,136,14,8,0,8,5,0,5,0,0,0,2,0,2,0.1102941176,0,0.1102941176
09/26/2022,79,0,79,19,5,0,5,6,0,6,0,0,0,0,0,0,0.1392405063,0,0.1392405063
09/27/2022,65,0,65,14,1,0,1,4,0,4,0,0,0,1,0,1,0.09230769231,0,0.09230769231
09/28/2022,22,0,22,12,1,0,1,3,0,3,0,0,0,0,0,0,0.1818181818,0,0.1818181818
09/29/2022,99,0,99,23,4,0,4,3,0,3,0,0,0,1,0,1,0.08080808081,0,0.08080808081
09/30/2022,34,0,34,9,3,0,3,3,0,3,0,0,0,0,0,0,0.1764705882,0,0.1764705882
